system,url
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/jnifuse/struct/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/jnifuse/utils/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/job/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/job/meta/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/job/plan/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/job/plan/load/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/job/plan/meta/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/job/plan/migrate/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/job/plan/persist/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/job/plan/replicate/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/job/plan/stress/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/job/plan/transform/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/job/plan/transform/compact/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/job/plan/transform/format/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/job/plan/transform/format/csv/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/job/plan/transform/format/orc/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/job/plan/transform/format/parquet/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/job/plan/transform/format/tables/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/job/util/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/job/wire/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/job/workflow/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/job/workflow/composite/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/logserver/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/master/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/master/audit/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/master/backcompat/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/master/backcompat/ops/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/master/backup/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/master/block/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/master/block/meta/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/master/file/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/master/file/activesync/package-summary.html
alluxio,https://docs.alluxio.io/os/javadoc/2.5/alluxio/master/file/async/package-summary.html
